iter	Passed	Remaining
217	1482	5317
218	1488	5306
219	1494	5297
220	1499	5286
221	1505	5275
222	1511	5265
223	1517	5255
224	1523	5246
225	1529	5237
226	1535	5228
227	1541	5218
228	1546	5207
229	1552	5196
230	1558	5188
231	1564	5178
232	1569	5168
233	1576	5161
234	1586	5163
235	1592	5154
236	1597	5142
237	1602	5130
238	1608	5120
239	1613	5109
240	1618	5098
241	1624	5087
242	1629	5077
243	1635	5068
244	1641	5059
245	1647	5050
246	1653	5042
247	1659	5033
248	1665	5024
249	1672	5017
250	1678	5007
251	1684	5000
252	1690	4992
253	1697	4984
254	1704	4978
255	1710	4971
256	1718	4967
257	1724	4960
258	1730	4952
259	1737	4944
260	1743	4935
261	1749	4927
262	1755	4918
263	1761	4910
264	1767	4902
265	1773	4893
266	1780	4886
267	1785	4877
268	1792	4870
269	1799	4863
270	1805	4856
271	1812	4851
272	1819	4844
273	1825	4837
274	1832	4831
275	1839	4824
276	1846	4819
277	1853	4813
278	1859	4805
279	1866	4798
280	1872	4791
281	1879	4786
282	1886	4779
283	1892	4772
284	1899	4764
285	1905	4757
286	1912	4750
287	1918	4744
288	1926	4739
289	1933	4732
290	1940	4726
291	1946	4720
292	1953	4714
293	1960	4708
294	1968	4705
295	1977	4704
296	1985	4698
297	1993	4695
298	2001	4692
299	2010	4691
300	2019	4688
301	2026	4684
302	2033	4678
303	2041	4674
304	2048	4667
305	2055	4661
306	2062	4655
307	2072	4656
308	2080	4652
309	2088	4648
310	2096	4644
311	2104	4640
312	2112	4636
313	2120	4632
314	2128	4628
315	2136	4624
316	2144	4619
317	2152	4615
318	2160	4611
319	2168	4608
320	2176	4604
321	2184	4600
322	2192	4595
323	2200	4590
324	2208	4586
325	2216	4582
326	2224	4578
327	2233	4576
328	2241	4572
329	2250	4568
330	2258	4564
331	2267	4561
332	2275	4558
333	2283	4553
334	2292	4549
335	2300	4546
336	2308	4541
337	2316	4537
338	2325	4533
339	2333	4529
340	2341	4525
341	2349	4521
342	2358	4517
343	2366	4513
344	2376	4511
345	2385	4509
346	2393	4504
347	2402	4501
348	2411	4497
349	2419	4493
350	2428	4489
351	2436	4485
352	2444	4481
353	2453	4476
354	2461	4472
355	2470	4468
356	2478	4464
357	2487	4460
358	2495	4455
359	2503	4451
360	2511	4445
361	2520	4442
362	2528	4436
363	2536	4431
364	2544	4425
365	2552	4420
366	2560	4415
367	2567	4409
368	2575	4404
369	2583	4398
370	2591	4392
371	2599	4387
372	2606	4381
373	2613	4374
374	2621	4369
375	2629	4363
376	2637	4357
377	2644	4351
378	2652	4346
379	2660	4340
380	2668	4334
381	2676	4329
382	2684	4324
383	2693	4320
384	2700	4314
385	2708	4308
386	2716	4302
387	2724	4297
388	2731	4291
389	2739	4285
390	2747	4279
391	2754	4272
392	2761	4265
393	2769	4259
394	2779	4256
395	2788	4253
396	2796	4247
397	2804	4242
398	2814	4239
399	2823	4235
400	2831	4229
401	2839	4224
402	2849	4221
403	2859	4217
404	2867	4213
405	2876	4208
406	2885	4203
407	2894	4200
408	2903	4195
409	2911	4190
410	2920	4185
411	2928	4179
412	2937	4174
413	2945	4169
414	2954	4164
